hwm_id,stateName,countyName,height_above_gnd,elev_ft,hwm_environment,latitude,longitude
33616,NC,Craven County,0,10.45,Coastal,34.944288,-76.903476
34235,NC,Craven County,0,10.44,Riverine,34.936308,-76.811223
33543,NC,Craven County,3.25,10.38,Riverine,35.078518,-77.10573
33654,NC,Craven County,3.04,10.35,Riverine,35.1516,-77.05141
33541,NC,Craven County,2.15,10.29,Riverine,35.077428,-77.064072
33539,NC,Craven County,2.1,10.24,Riverine,35.104962,-77.037805
33661,NC,Craven County,2.6,10.24,Riverine,35.121212,-77.022047
33615,NC,Craven County,0,10.2,Coastal,35.115731,-77.018293
34112,SC,Horry County,2.78,10.15,Riverine,33.69375,-78.95223
34113,SC,Horry County,0,10.08,Riverine,33.69534,-78.95356
33538,NC,Craven County,0,10.06,Riverine,35.071503,-77.109185
33600,NC,Craven County,6.19,10.05,Coastal,35.065752,-76.967279
33674,NC,Craven County,1.5,10.05,Riverine,35.136474,-77.028118
33540,NC,Craven County,3.81,10,Coastal,35.110039,-77.037436
33563,NC,Pamlico County,4.25,9.91,Riverine,35.005106,-76.864135
34160,NC,Onslow County,4.57,9.88,Riverine,34.750975,-77.343
33922,NC,Pamlico County,0,9.83,Riverine,34.967378,-76.805997
33611,NC,Carteret County,0,9.8,Coastal,34.696829,-76.780765
33656,NC,Craven County,3.21,9.77,Riverine,35.158513,-77.070126
33701,NC,Craven County,0,9.72,Riverine,34.919778,-76.912317
33558,NC,Craven County,3.45,9.6,Riverine,35.056989,-76.955104
33684,NC,Craven County,4.5,9.44,Riverine,35.133012,-77.069771
33920,NC,Pamlico County,0,9.44,Riverine,34.967865,-76.806452
33560,NC,Pamlico County,0.47,9.36,Riverine,34.992279,-76.759294
33925,NC,Pamlico County,0,9.31,Riverine,34.967425,-76.805432
33672,NC,Onslow County,0,9.29,Coastal,34.696856,-77.117066
33923,NC,Pamlico County,0,9.26,Riverine,34.96759,-76.805721
33624,NC,Carteret County,0,9.19,Coastal,34.660431,-77.034415
34026,NC,Pender County,0,9.16,Coastal,34.35518,-77.68603
33882,NC,Beaufort County,0,9.15,Riverine,35.501851,-77.046354
34091,NC,New Hanover County,1.83,9.11,Riverine,34.24044,-77.932055
34078,NC,New Hanover County,2.2,9.01,Riverine,34.2315,-77.913289
34079,NC,New Hanover County,3.4,9.01,Riverine,34.231687,-77.913218
33680,NC,Craven County,0.54,8.92,Riverine,35.232744,-77.141914
34084,NC,New Hanover County,3.75,8.84,Riverine,34.238668,-77.920969
34182,NC,New Hanover County,5,8.83,Riverine,34.263867,-77.88856
34156,NC,Onslow County,5.22,8.72,Riverine,34.752733,-77.348712
34140,SC,Georgetown County,0,8.64,Riverine,33.562,-79.084
33730,NC,Onslow County,0,8.55,Coastal,34.675,-77.13583
33778,NC,Craven County,0.4,8.53,Riverine,35.218721,-77.14855
34045,NC,Pender County,0,8.47,Coastal,34.311221,-77.733077
33766,NC,Pamlico County,5.92,8.44,Riverine,35.1441913,-76.763214
33689,NC,Onslow County,1.32,8.42,Riverine,34.76207,-77.427047
34093,NC,New Hanover County,2.78,8.42,Riverine,34.242561,-77.924939
34152,NC,Onslow County,0.54,8.26,Riverine,34.751734,-77.348863
34083,NC,New Hanover County,2.7,8.24,Riverine,34.248869,-77.927855
33927,NC,Pamlico County,0.8,8.12,Riverine,35.143927,-76.76648
34125,NC,Pamlico County,2.8,8.12,Riverine,35.025469,-76.698315
34128,NC,Pamlico County,2.8,8.1,Riverine,35.025509,-76.698386
33542,NC,Beaufort County,4.62,8.02,Riverine,35.499912,-77.0242208
33892,NC,Beaufort County,0,7.99,Riverine,35.514671,-77.010462
33895,NC,Beaufort County,0,7.97,Riverine,35.514796,-77.010683
33559,NC,Beaufort County,3.13,7.66,Riverine,35.4385485,-76.9721065
33687,NC,Onslow County,4.96,7.56,Riverine,34.750385,-77.434878
33580,NC,Beaufort County,3.11,7.42,Riverine,35.3446208,-76.6640893
33739,NC,Onslow County,1.53,7.4,Coastal,34.70232,-77.19338
33564,NC,Beaufort County,3.79,7.32,Riverine,35.4320183,-76.9679031
33590,NC,Pamlico County,0.78,7.31,Coastal,35.200579,-76.65057
33741,NC,Onslow County,1.66,7.29,Coastal,34.70232,-77.19338
33648,NC,Onslow County,0,7.28,Coastal,34.502881,-77.396644
33589,NC,Pamlico County,3.1,7.25,Coastal,35.14482,-76.64156
33738,NC,Onslow County,2.95,7.24,Riverine,34.71533,-77.2246
34184,NC,New Hanover County,1.9,7.18,Coastal,34.150201,-77.860362
34132,SC,Georgetown County,3.14,7.13,Riverine,33.521,-79.095
33618,NC,Carteret County,0,7.06,Coastal,34.789544,-76.606831
33736,NC,Onslow County,2.39,7.05,Riverine,34.71533,-77.2246
33706,NC,New Hanover County,0,7.04,Coastal,34.21777,-77.81164
34025,NC,Pender County,0,7,Coastal,34.370076,-77.657907
33699,NC,Onslow County,0,6.96,Riverine,34.735524,-77.354216
34153,NC,Carteret County,0,6.92,Riverine,34.722575,-76.946398
34192,NC,New Hanover County,0.57,6.92,Coastal,34.1854188,-77.8390367
34187,NC,New Hanover County,0.92,6.87,Coastal,34.1240801,-77.8713635
33591,NC,Pamlico County,0.7,6.81,Coastal,35.088215,-76.60257
34146,NC,Pamlico County,0,6.74,Riverine,35.082623,-76.600726
34147,NC,Pamlico County,0,6.74,Riverine,35.082097,-76.601428
33857,NC,Beaufort County,0,6.69,Riverine,35.477234,-76.814709
34183,NC,New Hanover County,0,6.63,Coastal,34.15917,-77.855
33940,NC,Carteret County,0,6.62,Riverine,34.761531,-76.728029
33856,NC,Beaufort County,0,6.6,Riverine,35.477259,-76.814772
34082,NC,New Hanover County,0,6.59,Coastal,34.1147267,-77.8769004
33737,NC,Onslow County,0,6.56,Coastal,34.656424,-77.160644
34037,NC,New Hanover County,0,6.55,Coastal,34.107478,-77.879297
33733,NC,Onslow County,0,6.51,Coastal,34.683497,-77.129182
33675,NC,Onslow County,0,6.49,Coastal,34.68535,-77.12341
33688,NC,Onslow County,1.72,6.48,Riverine,34.7421,-77.432723
33582,NC,Beaufort County,2.73,6.41,Riverine,35.3329155291,-76.6273598103
33499,SC,Horry County,0,6.36,Coastal,33.6413888888889,-78.9477777777778
33703,NC,Pamlico County,3.9,6.36,Coastal,35.24464,-76.560641
34119,NC,Onslow County,0,6.34,Coastal,34.56802,-77.274788
34024,NC,Pender County,0,6.29,Coastal,34.39275,-77.6274
34065,NC,Onslow County,0,6.28,Coastal,34.57381,-77.272925
33742,NC,Onslow County,2.25,6.19,Riverine,34.71218,-77.2223
33743,NC,Onslow County,2.37,6.16,Riverine,34.71218,-77.2223
33673,NC,Onslow County,0,6.08,Coastal,34.708201,-77.113566
34012,NC,Pender County,0,6.05,Coastal,34.40612,-77.60685
33977,NC,Carteret County,0.95,6.02,Coastal,34.728649,-76.723177
33670,NC,Onslow County,0,5.98,Coastal,34.69082,-77.11993
33516,SC,Georgetown County,6.86,5.83,Coastal,33.5619444444444,-79.0855555555555
